#Partida_completa,Orgánica_completa,Funcional_Completa,Económica_completa,Org1_Seccion,Org1_Denominación,Org1_Completa,Org2_Servicio,Org2_Denominación,Org2_Completa,Org3_Centro,Org3_Denominación,Org3_Completa,Ec1_Capítulo,Ec1_Denominación,Ec1_Completa,Ec2_Artículo,Ec2_Denominación,Ec2_Completa,Ec3_Concepto,Ec3_Denominación,Ec3_Completa,Ec4_Subconcepto,Ec4_Denominación,Ec4_Completa,Func1_Grupo,Func1_Denominación,Func1_Completa,Func2_Función,Func2_Denominación,Func2_Completa,Func3_Subfunción,Func3_Denominación,Func3_Completa,Func4_Programa,Func4_Denominación,Func4_Completa,Func5_Subprograma,Func5_Denominación,Func5_Completa,Presupuesto
0101.1811.10000,0101,1811,10000,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,10,ALTOS CARGOS,10 ALTOS CARGOS,100,RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,100 RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,10000,RETRIBUCIONES BÁSICAS,10000 RETRIBUCIONES BASICAS,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1595110
0101.1811.10001,0101,1811,10001,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,10,ALTOS CARGOS,10 ALTOS CARGOS,100,RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,100 RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,10001,OTRAS REMUNERACIONES,10001 OTRAS REMUNERACIONES,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,6099
0101.1811.11000,0101,1811,11000,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,11,PERSONAL EVENTUAL,11 PERSONAL EVENTUAL,110,RETRIBUCIONES BÁSICAS Y OTRAS REMUNERACIONES DE PERSONAL EVENTUAL,110 RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE PERSONAL EVENTUAL,11000,RETRIBUCIONES BÁSICAS,11000 RETRIBUCIONES BASICAS,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,604095
0101.1811.12000,0101,1811,12000,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,120,RETRIBUCIONES BÁSICAS,120 RETRIBUCIONES BASICAS,12000,SUELDO Y PAGAS EXTRAORDINARIAS,12000 SUELDO Y PAGAS EXTRAORDINARIAS,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,428176
0101.1811.12005,0101,1811,12005,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,120,RETRIBUCIONES BÁSICAS,120 RETRIBUCIONES BASICAS,12005,TRIENIOS,12005 TRIENIOS,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,143618
0101.1811.12100,0101,1811,12100,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,121,RETRIBUCIONES COMPLEMENTARIAS,121 RETRIBUCIONES COMPLEMENTARIAS,12100,COMPLEMENTO DE DESTINO,12100 COMPLEMENTO DE DESTINO,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,242764
0101.1811.12101,0101,1811,12101,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,121,RETRIBUCIONES COMPLEMENTARIAS,121 RETRIBUCIONES COMPLEMENTARIAS,12101,COMPLEMENTO ESPECÍFICO,12101 COMPLEMENTO ESPECIFICO,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,491722
0101.1811.12104,0101,1811,12104,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,121,RETRIBUCIONES COMPLEMENTARIAS,121 RETRIBUCIONES COMPLEMENTARIAS,12104,OTRAS REMUNERACIONES,12104 OTRAS REMUNERACIONES,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,23676
0101.1811.12105,0101,1811,12105,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,121,RETRIBUCIONES COMPLEMENTARIAS,121 RETRIBUCIONES COMPLEMENTARIAS,12105,COMPLEMENTO DE DEDICACION,12105 COMPLEMENTO DE DEDICACION,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,178704
0101.1811.12400,0101,1811,12400,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,124,"RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS","124 RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS",12400,RETRIBUCION TRIBUNALES,12400 RETRIBUCION TRIBUNALES,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1500
