EJERCICIO;ID_CAPITULO;DESC_CAPITULO;ID_ARTICULO;DESC_ARTICULO;ID_CONCEPTO;DESC_CONCEPTO;ID_SUBCONCEPTO;DESC_SUBCONCEPTO;PPTO_INICIAL;MODIFICACION;PPTO_DEFINITIVO;DERECHOS_RECONOCIDOS_NETOS;RECAUDACION_NETA
2024;1;Impuestos Directos;1-0;Sobre La Renta;1-0-0;Compensación Impuesto Actividades Económicas;1-0-0-00;Compensación Impuesto Actividades Económicas; 54153,0; 0,0; 54153,0; 2081,76; 2081,76
2024;1;Impuestos Directos;1-0;Sobre La Renta;1-0-1;Recargo Sobre Actividades Económicas;1-0-1-00;Recargo Sobre Actividades Económicas; 2267460,0; 0,0; 2267460,0; 459995,21; 453710,78
2024;1;Impuestos Directos;1-0;Sobre La Renta;1-0-2;Tramo Autonómico Del I.R.P.F.;1-0-2-00;Tramo Autonómico Del I.R.P.F.; 513672840,0; 0,0; 513672840,0; 200469795,0; 200469795,0
2024;1;Impuestos Directos;1-1;Sobre El Capital;1-1-0;Impuesto Sobre Sucesiones Y Donaciones;1-1-0-01;Impuesto Sobre Sucesiones; 26000000,0; 0,0; 26000000,0; 9307081,59; 7182962,33
2024;1;Impuestos Directos;1-1;Sobre El Capital;1-1-0;Impuesto Sobre Sucesiones Y Donaciones;1-1-0-02;Impuesto Sobre Donaciones; 850000,0; 0,0; 850000,0; 483065,67; 471862,79
2024;1;Impuestos Directos;1-1;Sobre El Capital;1-1-1;Impuesto Sobre El Patrimonio;1-1-1-00;Impuesto Sobre El Patrimonio; 15500000,0; 0,0; 15500000,0; 16896,32; 16571,95
2024;1;Impuestos Directos;1-1;Sobre El Capital;1-1-3;Impuesto Sobre Los Depósitos En Las Entidades De Crédito;1-1-3-00;Impuesto Sobre Los Depósitos En Las Entidades De Crédito; 3476692,0; 0,0; 3476692,0; 88117,38; 88117,38
2024;2;Impuestos Indirectos;2-0;Sobre Transmisiones Patrimoniales Y Actos Jurídicos Documentados;2-0-0;Sobre Transmisiones Patrimoniales Y Actos Juridicos Documentados;2-0-0-01;Sobre Transmisiones Patrimoniales; 37065000,0; 0,0; 37065000,0; 10063479,41; 9311542,22
2024;2;Impuestos Indirectos;2-0;Sobre Transmisiones Patrimoniales Y Actos Jurídicos Documentados;2-0-0;Sobre Transmisiones Patrimoniales Y Actos Juridicos Documentados;2-0-0-02;Sobre Actos Jurídicos Documentados; 8895600,0; 0,0; 8895600,0; 1862551,37; 1804457,7
2024;2;Impuestos Indirectos;2-1;Tributos Sobre El Juego;2-1-0;Tributos Sobre El Juego;2-1-0-00;Tributos Sobre El Juego; 10590000,0; 0,0; 10590000,0; 4289053,22; 3136538,22
