EJERCICIO;ID_CAPITULO;DESC_CAPITULO;ID_ARTICULO;DESC_ARTICULO;ID_CONCEPTO;DESC_CONCEPTO;ID_SUBCONCEPTO;DESC_SUBCONCEPTO;PROPUESTA
 00000000000000000000000000000000002025;1;Impuestos Directos                                                                                                                                                                                                                                        ;1-0;Sobre La Renta                                                                                                                                                                                                                                            ;1-0-0;Compensación Impuesto Actividades Económicas                                                                                                                                                                                                              ;1-0-0-00;Compensación Impuesto Actividades Económicas                                                                                                                                                                                                              ; 50383,0
 00000000000000000000000000000000002025;1;Impuestos Directos                                                                                                                                                                                                                                        ;1-0;Sobre La Renta                                                                                                                                                                                                                                            ;1-0-1;Recargo Sobre Actividades Económicas                                                                                                                                                                                                                      ;1-0-1-00;Recargo Sobre Actividades Económicas                                                                                                                                                                                                                      ; 2278328,0
 00000000000000000000000000000000002025;1;Impuestos Directos                                                                                                                                                                                                                                        ;1-0;Sobre La Renta                                                                                                                                                                                                                                            ;1-0-2;Tramo Autonómico Del I.R.P.F.                                                                                                                                                                                                                             ;1-0-2-00;Tramo Autonómico Del I.R.P.F.                                                                                                                                                                                                                             ; 501339450,0
 00000000000000000000000000000000002025;1;Impuestos Directos                                                                                                                                                                                                                                        ;1-1;Sobre El Capital                                                                                                                                                                                                                                          ;1-1-0;Impuesto Sobre Sucesiones Y Donaciones                                                                                                                                                                                                                    ;1-1-0-01;Impuesto Sobre Sucesiones                                                                                                                                                                                                                                 ; 28265582,0
 00000000000000000000000000000000002025;1;Impuestos Directos                                                                                                                                                                                                                                        ;1-1;Sobre El Capital                                                                                                                                                                                                                                          ;1-1-0;Impuesto Sobre Sucesiones Y Donaciones                                                                                                                                                                                                                    ;1-1-0-02;Impuesto Sobre Donaciones                                                                                                                                                                                                                                 ; 954333,0
 00000000000000000000000000000000002025;1;Impuestos Directos                                                                                                                                                                                                                                        ;1-1;Sobre El Capital                                                                                                                                                                                                                                          ;1-1-1;Impuesto Sobre El Patrimonio                                                                                                                                                                                                                              ;1-1-1-00;Impuesto Sobre El Patrimonio                                                                                                                                                                                                                              ; 15924675,0
 00000000000000000000000000000000002025;1;Impuestos Directos                                                                                                                                                                                                                                        ;1-1;Sobre El Capital                                                                                                                                                                                                                                          ;1-1-3;Impuesto Sobre Los Depósitos En Las Entidades De Crédito                                                                                                                                                                                                  ;1-1-3-00;Impuesto Sobre Los Depósitos En Las Entidades De Crédito                                                                                                                                                                                                  ; 3655126,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-0;Sobre Transmisiones Patrimoniales Y Actos Jurídicos Documentados                                                                                                                                                                                          ;2-0-0;Sobre Transmisiones Patrimoniales Y Actos Juridicos Documentados                                                                                                                                                                                          ;2-0-0-01;Sobre Transmisiones Patrimoniales                                                                                                                                                                                                                         ; 39282223,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-0;Sobre Transmisiones Patrimoniales Y Actos Jurídicos Documentados                                                                                                                                                                                          ;2-0-0;Sobre Transmisiones Patrimoniales Y Actos Juridicos Documentados                                                                                                                                                                                          ;2-0-0-02;Sobre Actos Jurídicos Documentados                                                                                                                                                                                                                        ; 10282824,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-1;Tributos Sobre El Juego                                                                                                                                                                                                                                   ;2-1-0;Tributos Sobre El Juego                                                                                                                                                                                                                                   ;2-1-0-00;Tributos Sobre El Juego                                                                                                                                                                                                                                   ; 10728102,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-2;Cánones                                                                                                                                                                                                                                                   ;2-2-0;Canon De Saneamiento Y Depuración                                                                                                                                                                                                                         ;2-2-0-00;Canon De Saneamiento Y Depuración                                                                                                                                                                                                                         ; 16041935,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-3;Sobre El Valor Añadido                                                                                                                                                                                                                                    ;2-3-0;Impuesto Sobre El Valor Añadido                                                                                                                                                                                                                           ;2-3-0-01;Sobre Operaciones Interiores                                                                                                                                                                                                                              ; 330579870,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-4;Sobre Consumos Específicos                                                                                                                                                                                                                                ;2-4-0;Impuestos Especiales                                                                                                                                                                                                                                      ;2-4-0-00;Impuesto Sobre El Alcohol Y Bebidas Derivadas                                                                                                                                                                                                             ; 2832284,0
